verb	class	routing	bindable	group	tier	replacement
audio.emitters	READ-BACK	immediate	no			
audio.state	READ-BACK	immediate	no			
backend	ENGINE-IO	immediate	no			
capture.start	ENGINE-IO	immediate	no			
capture.status	ENGINE-IO	immediate	no			
capture.stop	ENGINE-IO	immediate	no			
channel.name.dash	GENERATED	simulation	yes			
channel.name.forward	GENERATED	simulation	yes			
channel.name.jump	GENERATED	simulation	yes			
channel.name.pitch	GENERATED	simulation	yes			
channel.name.roll	GENERATED	simulation	yes			
channel.name.run	GENERATED	simulation	yes			
channel.name.strafe	GENERATED	simulation	yes			
channel.name.turn	GENERATED	simulation	yes			
channel.name.up	GENERATED	simulation	yes			
channel.role.MoveForward	GENERATED	simulation	yes			
channel.role.MoveStrafe	GENERATED	simulation	yes			
channel.role.MoveUp	GENERATED	simulation	yes			
channel.role.Pitch	GENERATED	simulation	yes			
channel.role.Roll	GENERATED	simulation	yes			
channel.role.Turn	GENERATED	simulation	yes			
chat.allow	DOOR	simulation	no			
chat.block	DOOR	simulation	no			
chat.inbox	DOOR	simulation	no			
chat.log	DOOR	simulation	no			
chat.read	READ-BACK	immediate	no			
chat.whisper	DOOR	simulation	no			
editor.ascend	DOOR	immediate	yes			
editor.cam.pose	DOOR	immediate	no			
editor.cam.speed	DOOR	immediate	no			
editor.camera	DOOR	immediate	yes			
editor.cancel	DOOR	immediate	yes			
editor.creation.next	DOOR	immediate	yes			
editor.creation.prev	DOOR	immediate	yes			
editor.creations	READ-BACK	immediate	no			
editor.delete	DOOR	simulation	yes			
editor.descend	DOOR	immediate	yes			
editor.deselect	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.select none (same widening)
editor.drag	DOOR	immediate	no			
editor.enter	DOOR	simulation	yes			
editor.exit	DOOR	simulation	yes			
editor.faster	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.cam.speed faster (widen to <unitsPerSecond|faster|slower>)
editor.fly	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.camera fly   (widen the toggle to [fly|orbit])
editor.grab	DOOR	simulation	yes			
editor.import	DOOR	simulation	no			
editor.move	DOOR	simulation	no			
editor.next	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.select next (widen to [<section> <id> | next | prev | none])
editor.nudge	SUGAR	simulation	no	L. relative twin of an absolute verb (the ledgered stale-read race class)	1	editor.move <x> <y> <z> (absolute; retires this row from the stale-read defect ledger)
editor.orbit	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.camera orbit (same widening)
editor.pick	DOOR	immediate	yes			
editor.place	DOOR	simulation	no			
editor.prev	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.select prev (same widening)
editor.release	DOOR	simulation	no			
editor.sculpt.add	DOOR	immediate	yes			
editor.sculpt.bend	SUGAR	immediate	no	J. per-field setter family on one subject (same shape as the *.tune verdict)	2	editor.sculpt.set bend <v>
editor.sculpt.blend	DOOR	immediate	yes			
editor.sculpt.chain	DOOR	immediate	no			
editor.sculpt.chain.define	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.chain (no-arg = define a limb from the selection)
editor.sculpt.chain.kind	DOOR	immediate	yes			
editor.sculpt.chain.next	DOOR	immediate	yes			
editor.sculpt.chain.remove	DOOR	immediate	yes			
editor.sculpt.commit	DOOR	simulation	yes			
editor.sculpt.deselect	DOOR	immediate	yes			
editor.sculpt.dilate	SUGAR	immediate	no	J. per-field setter family on one subject (same shape as the *.tune verdict)	2	editor.sculpt.set dilate <v>
editor.sculpt.duplicate	DOOR	immediate	yes			
editor.sculpt.easel	DOOR	simulation	yes			
editor.sculpt.edit	DOOR	simulation	no			
editor.sculpt.exit	DOOR	simulation	yes			
editor.sculpt.frame	DOOR	immediate	no			
editor.sculpt.frame.next	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.frame next (widen to <n|next|prev>)
editor.sculpt.frame.prev	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.frame prev (same widening)
editor.sculpt.frame.record	DOOR	immediate	yes			
editor.sculpt.frame.remove	DOOR	immediate	yes			
editor.sculpt.frame.ticks	DOOR	immediate	no			
editor.sculpt.goal	DOOR	immediate	no			
editor.sculpt.grow	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.scale grow   (widen to <s|x y z|grow|shrink>)
editor.sculpt.link	DOOR	immediate	no			
editor.sculpt.material	DOOR	immediate	no			
editor.sculpt.material.next	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.material next (widen to <slot|next|prev>, as editor.sculpt.primitive already is)
editor.sculpt.material.prev	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.material prev (same widening)
editor.sculpt.mirror	DOOR	immediate	yes			
editor.sculpt.move	SUGAR	immediate	no	J. per-field setter family on one subject (same shape as the *.tune verdict)	2	editor.sculpt.set move <x> <y> <z>
editor.sculpt.new	DOOR	simulation	no			
editor.sculpt.next	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.select next (widen to <id|name|next|prev>)
editor.sculpt.nudge	SUGAR	immediate	no	J. per-field setter family on one subject (same shape as the *.tune verdict)	2	editor.sculpt.set nudge <dx> <dy> <dz>
editor.sculpt.onion	SUGAR	immediate	no	J. per-field setter family on one subject (same shape as the *.tune verdict)	2	editor.sculpt.set onion <v>
editor.sculpt.palette	DOOR	immediate	no			
editor.sculpt.play	DOOR	immediate	yes			
